# disease_key|disease_query|origin_disease_ids(optional)|inject_yaml(optional)
# Commercial Pipeline Batch 11 — 纯A级: 炎症=原发病因, 平台强适配
# 选择标准: (1) 不在现有疾病中 (2) 免疫/炎症是原发病因(非继发)
#   (3) 组织活检GEO丰富 (4) 签名逆转=治疗获益 (5) 商业价值明确
# 主题: 过敏超敏 / 移植免疫 / 急性免疫 / 感染免疫HDT / 风湿自炎 / 神经免疫 / 生殖免疫
#
# ============================================================
# 过敏/超敏 — Th2/IgE原发免疫, 巨大市场
# ============================================================
# Allergic rhinitis: 4亿+全球患者, 鼻黏膜活检GEO丰富
#   Th2/IgE/肥大细胞=原发病因, 免疫治疗$5B+市场, 口服disease-modifying缺口大
allergic_rhinitis|allergic rhinitis|EFO_0003785|
# Reactive arthritis: 感染后自免疫关节炎, HLA-B27关联, 滑膜GEO可用
#   感染触发→自免疫持续(分子模拟), 与AS互补, 零获批系统药
reactive_arthritis|reactive arthritis|MONDO_0005556|
# CPPD (pseudogout): 焦磷酸钙晶体→NLRP3/IL-1炎症体激活, 滑膜GEO可用
#   与gout(已覆盖)平行的晶体关节病, 零获批特异性药物(S级!), 仅off-label colchicine
cppd_disease|calcium pyrophosphate deposition disease|MONDO_0006239|
# FMF: MEFV突变→inflammasome持续激活→IL-1释放, 血液GEO可用
#   自身炎症原型病, 5-10%秋水仙碱耐药无替代, 地中海/中东高发
fmf|familial Mediterranean fever|MONDO_0010171|
#
# ============================================================
# 神经免疫 — 自抗体/免疫介导, 新认定独立实体
# ============================================================
# MOGAD: 抗MOG抗体介导, 2023年正式从MS/NMOSD独立出来
#   脑/脊髓/视神经脱髓鞘, 血液/CSF GEO增长中, 零获批药(仅off-label)
mogad|MOG antibody-associated disease|MONDO_0100485|
#
# ============================================================
# ENT免疫 — 与已覆盖CRSwNP完全不同的免疫表型
# ============================================================
# CRSsNP: Th1/中性粒细胞驱动(vs CRSwNP=Th2/嗜酸), 鼻窦黏膜GEO可用
#   占慢性鼻窦炎60-80%, dupilumab等Th2靶向药无效, 治疗缺口巨大
chronic_sinusitis_snp|chronic rhinosinusitis without nasal polyps|EFO_0009609|
#
# ============================================================
# 生殖免疫 — 免疫失调=不孕原因, 子宫内膜活检GEO可用
# ============================================================
# Chronic endometritis: CD138+浆细胞浸润子宫内膜=原发免疫
#   与endometriosis(已覆盖)不同, 导致反复种植失败/流产, 零获批免疫调节药
chronic_endometritis|chronic endometritis|MONDO_0002647|
#
# ============================================================
# 血液免疫 — 自抗体介导, 生命威胁
# ============================================================
# TTP (acquired): 抗ADAMTS13自抗体=原发免疫病因, 血液GEO可用
#   自免疫性TTP, caplacizumab获批但仅急性期, 复发预防=未满足需求
ttp|thrombotic thrombocytopenic purpura|MONDO_0017900|
