nctId,interventions_found,arms_found,drugs_extracted,has_resultsSection,best_guess_interventions_type,best_guess_arms_type
NCT04560998,2,2,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02944682,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07201168,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04471792,2,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02505399,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06589791,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05362903,1,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description'])"
NCT06897566,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT07262203,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00001204,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'url'])"
NCT07250776,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06675175,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05988684,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06508437,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05708547,3,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT02117453,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02375893,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT02110303,2,4,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04626973,4,2,4,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT02425345,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05103280,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07203677,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT01180361,1,4,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT03128424,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02944071,1,1,0,1,"dict_keys(['type', 'name', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05378529,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05529472,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT01419080,2,1,2,1,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT04337554,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04873934,1,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06005597,6,4,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06942923,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03204825,3,4,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00696124,4,4,4,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT01064440,3,3,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07200804,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT07196280,1,0,1,0,"dict_keys(['type', 'name', 'description'])",
NCT02685098,1,5,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04152291,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05142722,2,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07172308,0,0,0,0,,
NCT03084523,1,1,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07169682,3,3,3,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT01447745,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT05873452,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05761444,2,2,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06497478,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT05358353,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06065345,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04440839,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05009602,6,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT03900026,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07136883,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06827171,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05335161,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04222751,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06181799,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT07123610,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT02769273,1,2,0,0,"dict_keys(['type', 'name', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05635370,2,2,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04751890,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05399680,3,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04950634,0,1,0,0,,"dict_keys(['label', 'url'])"
NCT03511612,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06644651,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT07093632,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04083456,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05535907,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT02807779,3,3,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05680935,4,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04382443,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05610280,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02963649,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04191746,2,1,2,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT05888740,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05537571,2,5,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04061018,1,2,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT05858905,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07037979,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'interventionNames'])"
NCT05118178,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT06404515,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07023445,1,3,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT05100745,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06164977,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04460482,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05192941,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04539704,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05058456,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT06692764,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04992065,7,7,4,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06443814,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06001203,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03990545,1,2,1,0,"dict_keys(['name', 'affiliation', 'role'])",dict_keys(['label'])
NCT06659718,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT06986369,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02471638,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06874751,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05436977,2,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT04929249,1,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05741827,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04270760,2,5,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT06122961,1,4,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05398029,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05145439,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06367803,0,0,0,0,,
NCT04748965,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT06048588,3,3,3,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04032197,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04377126,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06052319,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04755335,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT06933745,2,2,2,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT02887859,1,1,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02900924,1,0,0,1,"dict_keys(['type', 'name'])",
NCT00765310,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00764270,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06913348,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT03119233,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03506633,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05611021,1,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02098460,1,3,1,0,"dict_keys(['type', 'name', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT00823849,4,4,3,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT06895265,0,1,0,0,,"dict_keys(['label', 'description'])"
NCT05563246,2,4,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03241459,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05129241,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT06565819,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04062734,2,0,2,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT03479255,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03018366,4,2,4,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT01285999,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03347383,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04881110,2,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04937179,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06199869,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT02921230,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05445375,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description'])"
NCT06729385,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04610892,2,6,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03981380,1,1,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT06077552,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03349996,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05613907,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT03636152,4,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05662787,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'interventionNames'])"
NCT03426293,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT04536012,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description'])"
NCT04903756,1,2,1,0,"dict_keys(['name', 'class'])","dict_keys(['label', 'description'])"
NCT03911141,2,4,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description'])"
NCT03960463,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05730621,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05159219,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03743636,3,3,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03473223,2,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06020534,1,3,1,1,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT06753604,1,1,1,0,"dict_keys(['name', 'class'])","dict_keys(['label', 'description'])"
NCT05073510,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05797376,1,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04167761,1,1,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05901246,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06061211,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT02863926,1,3,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03721939,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06718465,1,2,1,0,"dict_keys(['name', 'class'])","dict_keys(['label', 'description'])"
NCT03921905,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05355402,2,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03506646,2,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06702202,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05284240,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04304105,0,0,0,0,,
NCT06407154,1,0,1,0,"dict_keys(['name', 'affiliation', 'role'])",
NCT04042311,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT01872208,1,1,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03845543,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06332833,0,0,0,0,,
NCT04663867,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05831319,1,2,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT03455855,1,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03064126,3,2,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05421078,2,4,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03368144,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
